Longitude,Latitude,Cluster
36.861544,-5.177747,2
51.463766,5.392935,1
51.190492,4.453765,1
51.326247,6.085953,1
51.463766,5.392935,1
51.190492,4.453765,1
54.529777,9.029133,3
48.861686,2.293117,1
52.213888,10.523333,3
36.821091,-2.443153,2
38.964631,-2.884812,2
54.040938,14.010755,3
48.836108,2.381694,1
41.191395,-1.784323,2
48.836108,2.381694,1
48.836108,2.381694,1
48.836108,2.381694,1
52.213888,10.523333,3
49.997903,8.267671,4
49.995724,8.268733,4
49.995724,8.268733,4
36.71761,-4.417716,2
37.384867,-5.99195,2
45.073179,7.685483,4
45.072975,7.685558,4
49.098652,14.57669,4
45.431587,12.328484,4
50.449654,30.524268,3
51.437257,6.805558,4
53.228636,-0.541078,1
53.22863,-0.541681,1
48.161172,16.383388,4
48.161208,16.383388,4
48.168286,16.380847,4
48.165802,16.381891,4
48.165519,16.381988,4
53.227633,-0.543578,1
53.227636,-0.543578,1
53.227638,-0.543573,1
53.227644,-0.543581,1
53.227641,-0.5436,1
53.227669,-0.543573,1
53.227694,-0.543489,1
53.227666,-0.543581,1
53.227666,-0.543578,1
53.227677,-0.543603,1
53.228405,-0.5466,1
53.229244,-0.546075,1
53.228338,-0.54305,1
53.2284,-0.543064,1
53.228163,-0.54322,1
53.227677,-0.543598,1
54.536085,-1.052917,1
41.691994,15.632997,0
41.596522,15.813794,0
41.596511,15.813761,0
48.86825,2.779219,1
48.868222,2.779294,1
47.383363,10.892569,4
48.867887,2.33807,1
48.204746,16.368156,4
53.465833,-2.339445,1
53.465833,-2.339167,1
53.229461,-0.540345,1
53.23093,-0.539803,1
53.233536,-0.538806,1
53.233533,-0.538806,1
53.23255,-0.538489,1
51.507497,0.049062,1
52.109747,-10.466312,1
48.57458,13.464699,4
48.574786,13.465107,4
48.574829,13.465719,4
48.574197,13.467071,4
48.574403,13.468176,4
48.574119,13.468616,4
48.573956,13.469195,4
43.769271,11.255845,4
43.768427,11.253742,4
45.764027,4.832466,4
52.923593,-1.483358,1
43.677968,4.63093,4
43.677968,4.63093,4
43.677968,4.63093,4
43.270094,-2.940184,2
41.814397,-4.085448,2
50.039577,8.596791,4
48.711003,9.415594,4
48.711003,9.415594,4
38.692046,-9.215447,2
42.942352,0.28458,2
48.644633,-2.025545,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234094,-0.536128,1
53.234108,-0.536109,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.535948,1
53.234425,-0.537848,1
53.2344,-0.537881,1
51.370033,-0.402506,1
51.370166,-0.402731,1
53.235244,-0.540092,1
53.235091,-0.539906,1
53.235088,-0.539906,1
53.235322,-0.540887,1
53.234755,-0.539814,1
51.370238,-0.402801,1
53.235325,-0.540648,1
53.013461,-3.277112,1
53.01348,-3.277078,1
53.234591,-0.54067,1
53.234616,-0.540684,1
53.234222,-0.540123,1
53.234355,-0.540228,1
53.234355,-0.541878,1
53.234494,-0.542192,1
53.234258,-0.540056,1
53.234091,-0.540384,1
53.23418,-0.541112,1
53.234255,-0.541378,1
53.234352,-0.541412,1
53.234486,-0.542187,1
53.234563,-0.542323,1
53.234352,-0.540214,1
53.234202,-0.540189,1
53.234133,-0.540425,1
53.234172,-0.541114,1
53.234247,-0.541387,1
37.92162,-2.993366,2
37.92129,-2.993034,2
37.921569,-2.993001,2
37.920411,-2.994164,2
37.921097,-2.992809,2
53.235583,-0.542231,1
53.235822,-0.541812,1
53.23563,-0.540806,1
53.235372,-0.539903,1
53.235247,-0.539717,1
53.235186,-0.539723,1
53.234858,-0.539712,1
53.234458,-0.539842,1
53.235841,-0.542067,1
53.23585,-0.542112,1
53.234622,-0.539678,1
53.235105,-0.539648,1
53.234863,-0.539714,1
53.235844,-0.5421,1
53.235736,-0.541364,1
53.234863,-0.53695,1
53.235038,-0.537037,1
53.234072,-0.536812,1
53.234325,-0.537809,1
53.234308,-0.537828,1
53.234205,-0.538003,1
53.2342,-0.537995,1
53.235691,-0.538575,1
43.775381,11.253549,4
43.775381,11.253549,4
53.339592,-6.271584,1
36.048345,14.189722,0
37.797729,-0.806754,2
50.5238,6.093516,4
41.912375,12.487366,0
53.345658,-6.27094,1
55.236922,-6.513917,1
52.681572,0.855753,1
38.69875,-9.418553,2
38.697427,-9.418506,2
45.322394,0.586009,2
45.322394,0.586009,2
35.89267,14.517789,0
42.582222,1.5175,2
52.387155,4.541355,1
48.602126,-2.818252,1
46.547291,4.795017,4
46.547291,4.795017,4
49.46185,6.014633,4
49.46185,6.014633,4
38.192424,15.554748,0
39.725283,-0.187781,2
37.884252,-4.779709,2
50.087326,14.420864,3
45.465452,9.186801,4
45.993019,0.320544,2
51.787953,-2.845705,1
51.801197,-2.848527,1
45.982497,0.306972,2
45.982177,0.30423,2
45.982513,0.305741,2
45.982891,0.306588,2
51.787953,-2.845705,1
36.552784,29.420818,0
36.552784,29.420818,0
36.552784,29.420818,0
36.552784,29.420818,0
45.981613,0.303258,2
38.016744,12.502175,0
51.917869,4.52524,1
51.917869,4.52524,1
48.854538,2.370555,1
53.528047,10.339897,3
46.872837,6.37398,4
41.902318,12.495635,0
41.902325,12.49602,0
41.902308,12.496266,0
36.664597,29.106967,0
53.956817,-1.093375,1
53.96188,-1.091412,1
53.962397,-1.091369,1
53.963578,-1.086133,1
53.963742,-1.084814,1
44.489686,11.343686,4
48.893953,2.380599,1
57.70081,-3.494575,1
51.571419,0.208641,1
43.731266,7.416179,4
43.736685,7.418582,4
43.735096,7.417734,4
43.734995,7.425255,4
43.737228,7.426264,4
39.53357,3.330606,2
39.53357,3.330606,2
39.53357,3.330606,2
39.53357,3.330606,2
51.191958,0.261441,1
50.116335,8.699476,4
50.116335,8.699476,4
50.116335,8.699476,4
50.116335,8.699476,4
50.116335,8.699476,4
50.116335,8.699476,4
50.116335,8.699476,4
51.53335,0.714655,1
51.53335,0.714655,1
51.533233,0.7128,1
51.533755,0.714511,1
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
50.958336,6.972586,4
45.201908,1.544577,2
52.455988,-1.979862,1
52.456019,-1.979798,1
50.17498,8.927902,4
51.453333,-2.597223,1
51.479097,-0.293626,1
47.083127,2.3965,4
47.107861,13.130575,4
47.485272,19.052577,4
51.910777,4.483022,1
51.343249,-2.981092,1
40.330926,-7.210861,2
40.330926,-7.210861,2
40.330926,-7.210861,2
40.330926,-7.210861,2
40.330926,-7.210861,2
40.330926,-7.210861,2
40.330926,-7.210861,2
37.946388,23.615555,0
56.124606,10.117506,3
52.645573,5.054837,1
52.645573,5.054837,1
53.47792,-2.243528,1
52.453472,-1.717021,1
41.191441,0.739919,2
41.190855,0.735308,2
41.190855,0.735308,2
41.188294,0.747405,2
41.186613,0.750469,2
45.467866,9.205791,4
54.148637,-4.473302,1
40.554305,16.665261,0
48.498066,13.126323,4
51.220801,6.77836,4
51.465391,-0.170985,1
42.641512,18.108698,0
42.641385,18.109309,0
42.639862,18.10991,0
42.641141,18.110715,0
36.756311,28.265022,0
36.755925,28.2663,0
36.755922,28.265905,0
36.756402,28.266391,0
45.897922,6.121016,4
36.980495,-3.1265,2
50.523547,3.884738,1
45.433272,12.339019,4
49.38159,10.170453,4
50.852436,-0.983995,1
50.852514,-0.983759,1
50.852436,-0.983995,1
54.904679,-1.381198,1
52.455362,5.524749,1
50.801597,-1.109437,1
36.768158,27.801116,0
54.905019,-1.38138,1
37.376109,-5.987098,2
42.233145,3.121855,2
53.991934,-1.532893,1
41.145191,0.819083,2
49.732504,8.627679,4
41.362058,2.104611,2
51.162201,-0.579687,1
45.451453,9.173058,4
45.452078,9.177961,4
55.850366,-4.444606,1
55.850244,-4.445103,1
55.850463,-4.444567,1
45.995008,4.078963,4
54.349724,18.653165,3
46.896977,10.081686,4
46.871311,10.425875,4
48.204746,16.368156,4
48.580605,5.95703,4
46.967952,10.847105,4
48.207944,16.371989,4
48.209474,16.369886,4
48.207672,16.37171,4
48.636387,16.151136,4
51.024552,13.840713,3
51.813369,4.657836,1
50.801666,-1.109542,1
39.326686,21.707627,0
52.066287,-1.022983,1
39.335561,21.69153,0
39.364405,22.93743,0
51.885597,0.901308,1
51.885597,0.901308,1
39.364041,22.936947,0
41.410525,2.228772,2
52.066287,-1.022983,1
52.066287,-1.022983,1
48.834597,9.152222,4
48.837258,9.154513,4
48.834594,9.152225,4
52.066287,-1.022983,1
52.066287,-1.022983,1
52.066287,-1.022983,1
53.465833,-2.338889,1
45.397463,11.876822,4
45.397333,11.87683,4
45.39735,11.876816,4
52.070795,-1.009454,1
52.070795,-1.009454,1
53.339592,-6.271584,1
46.595928,11.742871,4
39.278952,21.68253,0
39.279297,21.683536,0
53.95205,10.865619,3
53.957475,10.882536,3
53.957475,10.882536,3
37.920786,-2.991889,2
51.112116,17.029938,3
51.109627,17.031308,3
48.888383,2.335533,1
57.324333,-4.4423,1
51.815797,5.843427,1
56.032384,37.055865,3
56.032384,37.055865,3
52.348352,-1.591631,1
45.464239,9.190449,4
51.057121,3.720638,1
50.434178,18.955267,3
40.352079,18.168598,0
55.557147,8.085038,3
51.343249,-2.981092,1
42.052655,2.504686,2
50.433276,18.953862,3
39.530808,-0.384198,2
54.435881,-3.083319,1
51.507869,-0.127045,1
51.537356,-0.145933,1
52.64528,5.056307,1
52.645605,5.054268,1
48.565981,2.714138,1
51.524842,-0.116031,1
51.524842,-0.116031,1
59.325048,18.070711,3
38.713492,-9.130405,2
54.59156,13.14085,3
55.911152,-4.452295,1
55.790142,37.531614,3
36.418055,25.427777,0
38.219641,22.122413,0
55.361666,-3.461389,1
51.282932,5.75325,1
37.328591,-5.842873,2
37.328313,-5.843684,2
37.328775,-5.842895,2
51.233119,7.066252,4
37.417966,-5.871187,2
37.934222,-6.58082,2
37.936397,-6.580612,2
37.936261,-6.580756,2
37.936283,-6.580564,2
37.936086,-6.580848,2
37.936161,-6.580906,2
37.936177,-6.58095,2
37.936063,-6.582434,2
48.469869,-2.525246,1
41.899355,12.472886,0
48.350994,-4.570185,1
46.000044,0.322969,2
46.000127,0.324088,2
45.937363,0.643266,2
45.93838,0.644016,2
45.937022,0.644313,2
52.733667,15.390043,3
47.764739,-1.974363,1
47.764739,-1.974363,1
45.652069,13.773247,4
48.089066,13.561946,4
52.198269,16.013238,3
53.106586,0.237136,1
38.766214,-9.147384,2
50.218792,10.742686,4
50.218792,10.742686,4
38.766214,-9.147384,2
38.766214,-9.147384,2
51.210533,-2.643323,1
51.210425,-2.643689,1
53.130635,-1.422171,1
51.533247,0.713044,1
51.533041,0.718197,1
51.532186,0.716855,1
51.532288,0.715225,1
52.18722,9.610955,3
52.18722,9.610955,3
55.959849,-4.767841,1
38.706602,-9.13497,2
51.531855,0.724977,1
51.532788,0.722113,1
51.532438,0.723002,1
51.532752,0.722088,1
51.532886,0.72018,1
50.453159,19.552102,3
50.453159,19.552102,3
50.453159,19.552102,3
53.145811,-1.41494,1
51.50758,-0.127887,1
47.558172,7.58818,4
53.959645,-1.080286,1
41.325092,-3.879023,2
52.508953,13.372335,3
45.437983,12.335836,4
45.073694,7.699055,4
45.073391,7.697263,4
53.217152,6.572725,1
53.217147,6.572719,1
53.217125,6.572769,1
39.297594,23.125191,0
51.568813,0.457952,1
51.568869,0.458652,1
51.56873,0.45995,1
51.568827,0.460497,1
51.568794,0.461805,1
51.568827,0.463502,1
51.570386,0.459858,1
51.570386,0.459338,1
51.570358,0.459169,1
51.57028,0.458994,1
51.57018,0.458322,1
51.570144,0.457802,1
51.570041,0.456875,1
53.340786,-6.267406,1
50.263098,10.55446,4
38.707163,-9.136784,2
38.707615,-9.136848,2
51.343249,-2.981092,1
51.657236,-0.454816,1
47.06173,-0.880137,1
47.06173,-0.880137,1
47.06173,-0.880137,1
47.06173,-0.880137,1
47.06173,-0.880137,1
47.06173,-0.880137,1
47.06173,-0.880137,1
45.407102,11.876822,4
45.406988,11.876944,4
45.406886,11.876825,4
45.401444,11.867372,4
45.402061,11.867786,4
45.402252,11.867969,4
45.402777,11.868227,4
56.124606,10.117506,3
43.317754,11.328835,4
43.317754,11.328835,4
43.317754,11.328835,4
43.317754,11.328835,4
45.411775,11.87955,4
43.751133,11.741445,4
51.117547,-0.189387,1
51.11653,-0.189506,1
51.116458,-0.188398,1
51.116358,-0.188206,1
51.11653,-0.187634,1
51.11653,-0.187634,1
51.116441,-0.18517,1
51.116441,-0.18517,1
51.11628,-0.185203,1
51.116505,-0.18497,1
51.116627,-0.185053,1
52.6613,-3.918181,1
40.418719,-3.702262,2
40.418719,-3.702262,2
52.6613,-3.918181,1
52.6613,-3.918181,1
56.339219,-2.794237,1
45.448826,11.799938,4
50.087326,14.420864,3
50.087326,14.420864,3
50.082191,14.423804,3
50.082191,14.423804,3
50.082191,14.423804,3
56.949211,24.10373,3
56.948822,24.108216,3
44.916133,-0.236806,2
51.508308,-0.128252,1
51.508308,-0.128252,1
47.495425,19.041563,4
47.5052,19.039738,4
51.110197,-0.140831,1
51.110197,-0.140831,1
51.110197,-0.140831,1
42.513693,-8.814811,2
42.513693,-8.814811,2
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
53.247886,10.412871,3
43.942421,3.534786,4
41.14378,0.819099,2
42.649445,18.043755,0
43.194711,-3.193373,2
43.194711,-3.193373,2
43.194711,-3.193373,2
51.461733,-0.426878,1
52.180169,6.83245,1
41.215527,0.731075,2
53.408687,-2.979612,1
53.408687,-2.979612,1
53.405784,-2.997786,1
53.405784,-2.997786,1
53.405784,-2.997786,1
53.405784,-2.997786,1
37.384079,-5.989919,2
37.383738,-5.991314,2
41.008467,28.979905,0
42.735389,12.739934,0
45.443391,10.996874,4
50.362483,-4.399559,1
50.832955,-4.554092,1
50.832727,-4.55397,1
50.832555,-4.553775,1
50.83248,-4.554225,1
50.832797,-4.553931,1
50.832552,-4.554259,1
50.8325,-4.553612,1
50.832677,-4.553998,1
50.833088,-4.553931,1
50.832947,-4.55392,1
50.83263,-4.553956,1
50.832852,-4.554103,1
50.832763,-4.554323,1
50.741388,-4.638612,1
50.741302,-4.636387,1
50.741686,-4.639398,1
50.741666,-4.639375,1
50.741619,-4.638748,1
50.741472,-4.638003,1
50.741044,-4.63517,1
50.741594,-4.639456,1
50.740833,-4.635278,1
50.741597,-4.639292,1
50.771844,-4.576964,1
50.771944,-4.578889,1
51.008288,-4.533431,1
50.7725,-4.579723,1
59.345018,18.040205,3
50.773041,-4.576667,1
50.775277,-4.573334,1
50.774666,-4.573895,1
50.772525,-4.57982,1
40.41544,-3.707456,2
40.41544,-3.707456,2
40.585408,-4.138669,2
40.41544,-3.707456,2
40.41544,-3.707456,2
40.587917,-4.137876,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
40.58896,-4.147253,2
50.847522,-4.554664,1
50.848852,-4.554962,1
50.847919,-4.554762,1
50.848888,-4.556389,1
50.848238,-4.554648,1
52.213888,10.523333,3
50.848888,-4.556389,1
50.870155,-4.560117,1
50.870063,-4.56057,1
50.869952,-4.560728,1
50.870091,-4.560181,1
51.113797,17.033377,3
51.113797,17.033508,3
51.113666,17.033591,3
51.113666,17.033369,3
51.113761,17.03438,3
37.385187,-5.993031,2
48.498277,2.339233,1
51.464413,-0.651784,1
51.464413,-0.651784,1
51.464413,-0.651784,1
51.464413,-0.651784,1
52.089561,0.122988,1
48.497752,2.339344,1
43.31791,11.329361,4
43.31791,11.329361,4
43.31791,11.329361,4
43.317981,11.32906,4
43.317981,11.32906,4
43.317981,11.32906,4
43.317981,11.32906,4
43.317981,11.32906,4
50.353477,19.08764,3
43.98213,11.363875,4
46.55878,8.59368,4
47.516402,19.082105,4
49.296994,19.947227,3
49.296838,19.947227,3
49.296666,19.947038,3
49.296452,19.946822,3
49.29648,19.946813,3
49.296402,19.94668,3
47.364219,4.899387,4
47.364219,4.899387,4
47.364219,4.899387,4
38.018636,12.498022,0
52.401757,4.932614,1
56.255036,-3.206609,1
56.254672,-3.205067,1
